player_id,player_name,runs_scored,wickets,runs_conceded,catches,stumpings,match_date,opposition,match_id
1,Pat Cummins,DNB,2,48,0,0,3 Sep 2015,v England Southampton,14
2,Steve Smith,44,-,-,0,0,3 Sep 2015,v England Southampton,14
10,Mitch Marsh,40*,1,35,2,0,3 Sep 2015,v England Southampton,14
11,Glenn Maxwell,15,1,29,0,0,3 Sep 2015,v England Southampton,14
13,David Warner,59,-,-,1,0,3 Sep 2015,v England Southampton,14
15,Mitchell Starc.,DNB,2,55,0,0,3 Sep 2015,v England Southampton,14
1,Pat Cummins,DNB,4,56,0,0,5 Sep 2015,v England Lord's,15
2,Steve Smith,70,-,-,1,0,5 Sep 2015,v England Lord's,15
10,Mitch Marsh,64,1,51,1,0,5 Sep 2015,v England Lord's,15
11,Glenn Maxwell,49,2,44,1,0,5 Sep 2015,v England Lord's,15
13,David Warner,1*,-,-,0,0,5 Sep 2015,v England Lord's,15
15,Mitchell Starc.,DNB,1,35,0,0,5 Sep 2015,v England Lord's,15
1,Pat Cummins,5,2,50,0,0,8 Sep 2015,v England Manchester,16
2,Steve Smith,25,-,-,0,0,8 Sep 2015,v England Manchester,16
10,Mitch Marsh,13,0,28,1,0,8 Sep 2015,v England Manchester,16
11,Glenn Maxwell,17,2,56,1,0,8 Sep 2015,v England Manchester,16
15,Mitchell Starc.,1,1,79,1,0,8 Sep 2015,v England Manchester,16
1,Pat Cummins,DNB,4,49,0,0,11 Sep 2015,v England Leeds,17
2,Steve Smith,5,-,-,0,0,11 Sep 2015,v England Leeds,17
10,Mitch Marsh,17,2,52,0,0,11 Sep 2015,v England Leeds,17
11,Glenn Maxwell,85,1,54,2,0,11 Sep 2015,v England Leeds,17
12,Marcus Stoinis,4,0,17,0,0,11 Sep 2015,v England Leeds,17
1,Pat Cummins,DNB,0,33,0,0,13 Sep 2015,v England Manchester,18
2,Steve Smith,12,-,-,0,0,13 Sep 2015,v England Manchester,18
10,Mitch Marsh,DNB,4,27,0,0,13 Sep 2015,v England Manchester,18
11,Glenn Maxwell,DNB,-,-,1,0,13 Sep 2015,v England Manchester,18
15,Mitchell Starc.,DNB,1,44,0,0,13 Sep 2015,v England Manchester,18
1,Pat Cummins,0*,2,62,0,0,4 Dec 2016,v New Zealand Sydney,19
2,Steve Smith,164,-,-,2,0,4 Dec 2016,v New Zealand Sydney,19
8,Josh Hazlewood,DNB,3,49,1,0,4 Dec 2016,v New Zealand Sydney,19
9,Travis Head,52,-,-,0,0,4 Dec 2016,v New Zealand Sydney,19
10,Mitch Marsh,1,2,38,0,0,4 Dec 2016,v New Zealand Sydney,19
13,David Warner,24,-,-,1,0,4 Dec 2016,v New Zealand Sydney,19
14,Adam Zampa,2*,2,66,0,0,4 Dec 2016,v New Zealand Sydney,19
15,Mitchell Starc.,11,1,37,0,0,4 Dec 2016,v New Zealand Sydney,19
1,Pat Cummins,DNB,4,41,0,0,6 Dec 2016,v New Zealand Canberra,20
2,Steve Smith,72,-,-,0,0,6 Dec 2016,v New Zealand Canberra,20
8,Josh Hazlewood,DNB,2,42,1,0,6 Dec 2016,v New Zealand Canberra,20
9,Travis Head,57,0,31,0,0,6 Dec 2016,v New Zealand Canberra,20
10,Mitch Marsh,76*,0,26,1,0,6 Dec 2016,v New Zealand Canberra,20
13,David Warner,119,-,-,2,0,6 Dec 2016,v New Zealand Canberra,20
15,Mitchell Starc.,DNB,2,52,1,0,6 Dec 2016,v New Zealand Canberra,20
1,Pat Cummins,DNB,2,26,0,0,9 Dec 2016,v New Zealand Melbourne,21
2,Steve Smith,0,-,-,1,0,9 Dec 2016,v New Zealand Melbourne,21
8,Josh Hazlewood,DNB,1,22,0,0,9 Dec 2016,v New Zealand Melbourne,21
9,Travis Head,37,2,37,1,0,9 Dec 2016,v New Zealand Melbourne,21
10,Mitch Marsh,0,-,-,0,0,9 Dec 2016,v New Zealand Melbourne,21
13,David Warner,156,-,-,1,0,9 Dec 2016,v New Zealand Melbourne,21
15,Mitchell Starc.,0*,3,34,0,0,9 Dec 2016,v New Zealand Melbourne,21
1,Pat Cummins,15,3,33,0,0,13 Jan 2017,v Pakistan Brisbane,22
2,Steve Smith,0,-,-,1,0,13 Jan 2017,v Pakistan Brisbane,22
9,Travis Head,39,0,28,1,0,13 Jan 2017,v Pakistan Brisbane,22
10,Mitch Marsh,4,1,27,1,0,13 Jan 2017,v Pakistan Brisbane,22
11,Glenn Maxwell,60,-,-,2,0,13 Jan 2017,v Pakistan Brisbane,22
13,David Warner,7,-,-,2,0,13 Jan 2017,v Pakistan Brisbane,22
15,Mitchell Starc.,10,2,34,1,0,13 Jan 2017,v Pakistan Brisbane,22
1,Pat Cummins,0,0,48,0,0,15 Jan 2017,v Pakistan Melbourne,23
2,Steve Smith,60,-,-,0,0,15 Jan 2017,v Pakistan Melbourne,23
8,Josh Hazlewood,0*,0,32,2,0,15 Jan 2017,v Pakistan Melbourne,23
9,Travis Head,29,0,23,0,0,15 Jan 2017,v Pakistan Melbourne,23
10,Mitch Marsh,0,0,32,0,0,15 Jan 2017,v Pakistan Melbourne,23
11,Glenn Maxwell,23,-,-,0,0,15 Jan 2017,v Pakistan Melbourne,23
13,David Warner,16,-,-,0,0,15 Jan 2017,v Pakistan Melbourne,23
15,Mitchell Starc.,3,2,45,0,0,15 Jan 2017,v Pakistan Melbourne,23
1,Pat Cummins,DNB,1,42,0,0,19 Jan 2017,v Pakistan Perth,24
2,Steve Smith,108*,-,-,0,0,19 Jan 2017,v Pakistan Perth,24
8,Josh Hazlewood,DNB,3,32,0,0,19 Jan 2017,v Pakistan Perth,24
9,Travis Head,23*,2,65,1,0,19 Jan 2017,v Pakistan Perth,24
11,Glenn Maxwell,DNB,-,-,0,0,19 Jan 2017,v Pakistan Perth,24
13,David Warner,35,-,-,0,0,19 Jan 2017,v Pakistan Perth,24
1,Pat Cummins,DNB,1,45,1,0,22 Jan 2017,v Pakistan Sydney,25
2,Steve Smith,49,-,-,1,0,22 Jan 2017,v Pakistan Sydney,25
8,Josh Hazlewood,DNB,3,54,1,0,22 Jan 2017,v Pakistan Sydney,25
9,Travis Head,51,2,66,0,0,22 Jan 2017,v Pakistan Sydney,25
11,Glenn Maxwell,78,-,-,0,0,22 Jan 2017,v Pakistan Sydney,25
13,David Warner,130,-,-,2,0,22 Jan 2017,v Pakistan Sydney,25
14,Adam Zampa,DNB,3,55,0,0,22 Jan 2017,v Pakistan Sydney,25
15,Mitchell Starc.,0*,1,42,0,0,22 Jan 2017,v Pakistan Sydney,25
1,Pat Cummins,1*,2,60,0,0,26 Jan 2017,v Pakistan Adelaide,26
2,Steve Smith,4,-,-,1,0,26 Jan 2017,v Pakistan Adelaide,26
8,Josh Hazlewood,DNB,1,74,0,0,26 Jan 2017,v Pakistan Adelaide,26
9,Travis Head,128,0,13,1,0,26 Jan 2017,v Pakistan Adelaide,26
11,Glenn Maxwell,13,-,-,1,0,26 Jan 2017,v Pakistan Adelaide,26
13,David Warner,179,-,-,0,0,26 Jan 2017,v Pakistan Adelaide,26
14,Adam Zampa,DNB,1,61,0,0,26 Jan 2017,v Pakistan Adelaide,26
15,Mitchell Starc.,6,4,42,1,0,26 Jan 2017,v Pakistan Adelaide,26
1,Pat Cummins,36,2,67,0,0,30 Jan 2017,v New Zealand Auckland,27
8,Josh Hazlewood,0,1,48,0,0,30 Jan 2017,v New Zealand Auckland,27
9,Travis Head,5,1,21,1,0,30 Jan 2017,v New Zealand Auckland,27
11,Glenn Maxwell,20,-,-,2,0,30 Jan 2017,v New Zealand Auckland,27
12,Marcus Stoinis,146*,3,49,0,0,30 Jan 2017,v New Zealand Auckland,27
15,Mitchell Starc.,3,1,59,1,0,30 Jan 2017,v New Zealand Auckland,27
1,Pat Cummins,27,1,47,0,0,5 Feb 2017,v New Zealand Hamilton,28
8,Josh Hazlewood,4,2,44,1,0,5 Feb 2017,v New Zealand Hamilton,28
9,Travis Head,53,-,-,0,0,5 Feb 2017,v New Zealand Hamilton,28
11,Glenn Maxwell,0,-,-,0,0,5 Feb 2017,v New Zealand Hamilton,28
12,Marcus Stoinis,42,0,22,1,0,5 Feb 2017,v New Zealand Hamilton,28
14,Adam Zampa,1,0,41,0,0,5 Feb 2017,v New Zealand Hamilton,28
15,Mitchell Starc.,29*,3,62,1,0,5 Feb 2017,v New Zealand Hamilton,28
1,Pat Cummins,DNB,1,67,0,0,2 Jun 2017,v New Zealand Birmingham,29
2,Steve Smith,8*,-,-,1,0,2 Jun 2017,v New Zealand Birmingham,29
8,Josh Hazlewood,DNB,6,52,0,0,2 Jun 2017,v New Zealand Birmingham,29
9,Travis Head,DNB,0,22,0,0,2 Jun 2017,v New Zealand Birmingham,29
11,Glenn Maxwell,DNB,-,-,4,0,2 Jun 2017,v New Zealand Birmingham,29
13,David Warner,18,-,-,1,0,2 Jun 2017,v New Zealand Birmingham,29
15,Mitchell Starc.,DNB,0,52,0,0,2 Jun 2017,v New Zealand Birmingham,29
1,Pat Cummins,DNB,1,22,0,0,5 Jun 2017,v Bangladesh The Oval,30
2,Steve Smith,22*,-,-,1,0,5 Jun 2017,v Bangladesh The Oval,30
8,Josh Hazlewood,DNB,1,40,1,0,5 Jun 2017,v Bangladesh The Oval,30
9,Travis Head,DNB,1,33,0,0,5 Jun 2017,v Bangladesh The Oval,30
11,Glenn Maxwell,DNB,0,9,0,0,5 Jun 2017,v Bangladesh The Oval,30
13,David Warner,40*,-,-,0,0,5 Jun 2017,v Bangladesh The Oval,30
14,Adam Zampa,DNB,2,13,0,0,5 Jun 2017,v Bangladesh The Oval,30
15,Mitchell Starc.,DNB,4,29,0,0,5 Jun 2017,v Bangladesh The Oval,30
1,Pat Cummins,4,0,55,0,0,10 Jun 2017,v England Birmingham,31
2,Steve Smith,56,-,-,0,0,10 Jun 2017,v England Birmingham,31
8,Josh Hazlewood,1*,2,50,0,0,10 Jun 2017,v England Birmingham,31
9,Travis Head,71*,0,9,0,0,10 Jun 2017,v England Birmingham,31
11,Glenn Maxwell,20,0,14,0,0,10 Jun 2017,v England Birmingham,31
13,David Warner,21,-,-,0,0,10 Jun 2017,v England Birmingham,31
14,Adam Zampa,0,0,52,0,0,10 Jun 2017,v England Birmingham,31
15,Mitchell Starc.,0,1,52,0,0,10 Jun 2017,v England Birmingham,31
1,Pat Cummins,9,0,44,0,0,17 Sep 2017,v India Chennai,32
2,Steve Smith,1,-,-,0,0,17 Sep 2017,v India Chennai,32
9,Travis Head,5,-,-,0,0,17 Sep 2017,v India Chennai,32
11,Glenn Maxwell,39,-,-,1,0,17 Sep 2017,v India Chennai,32
12,Marcus Stoinis,3,2,54,0,0,17 Sep 2017,v India Chennai,32
13,David Warner,25,-,-,1,0,17 Sep 2017,v India Chennai,32
14,Adam Zampa,5*,1,66,0,0,17 Sep 2017,v India Chennai,32
16,Rohit Sharma,28,-,-,0,0,17 Sep 2017,v Australia Chennai,32
17,Hardik Pandya,83,2,28,0,0,17 Sep 2017,v Australia Chennai,32
19,Virat Kohli,0,-,-,0,0,17 Sep 2017,v Australia Chennai,32
24,Jasprit Bumrah,DNB,1,20,2,0,17 Sep 2017,v Australia Chennai,32
26,Kuldeep Yadav,0*,2,33,0,0,17 Sep 2017,v Australia Chennai,32
1,Pat Cummins,0,1,34,0,0,21 Sep 2017,v India Eden Gardens,33
2,Steve Smith,59,-,-,1,0,21 Sep 2017,v India Eden Gardens,33
9,Travis Head,39,0,11,0,0,21 Sep 2017,v India Eden Gardens,33
11,Glenn Maxwell,14,-,-,2,0,21 Sep 2017,v India Eden Gardens,33
12,Marcus Stoinis,62*,0,46,0,0,21 Sep 2017,v India Eden Gardens,33
13,David Warner,1,-,-,1,0,21 Sep 2017,v India Eden Gardens,33
16,Rohit Sharma,7,-,-,0,0,21 Sep 2017,v Australia Eden Gardens,33
17,Hardik Pandya,20,2,56,1,0,21 Sep 2017,v Australia Eden Gardens,33
19,Virat Kohli,92,-,-,0,0,21 Sep 2017,v Australia Eden Gardens,33
24,Jasprit Bumrah,10*,0,39,0,0,21 Sep 2017,v Australia Eden Gardens,33
26,Kuldeep Yadav,0,3,54,0,0,21 Sep 2017,v Australia Eden Gardens,33
1,Pat Cummins,DNB,2,54,0,0,24 Sep 2017,v India Indore,34
2,Steve Smith,63,-,-,0,0,24 Sep 2017,v India Indore,34
9,Travis Head,4,-,-,0,0,24 Sep 2017,v India Indore,34
11,Glenn Maxwell,5,0,2,0,0,24 Sep 2017,v India Indore,34
12,Marcus Stoinis,27*,0,61,0,0,24 Sep 2017,v India Indore,34
13,David Warner,42,-,-,0,0,24 Sep 2017,v India Indore,34
16,Rohit Sharma,71,-,-,0,0,24 Sep 2017,v Australia Indore,34
17,Hardik Pandya,78,1,58,0,0,24 Sep 2017,v Australia Indore,34
19,Virat Kohli,28,-,-,0,0,24 Sep 2017,v Australia Indore,34
24,Jasprit Bumrah,DNB,2,52,1,0,24 Sep 2017,v Australia Indore,34
26,Kuldeep Yadav,DNB,2,75,0,0,24 Sep 2017,v Australia Indore,34
1,Pat Cummins,DNB,1,59,0,0,28 Sep 2017,v India Bengaluru,35
2,Steve Smith,3,-,-,0,0,28 Sep 2017,v India Bengaluru,35
9,Travis Head,29,0,38,0,0,28 Sep 2017,v India Bengaluru,35
12,Marcus Stoinis,15*,0,34,0,0,28 Sep 2017,v India Bengaluru,35
13,David Warner,124,-,-,1,0,28 Sep 2017,v India Bengaluru,35
14,Adam Zampa,DNB,1,63,0,0,28 Sep 2017,v India Bengaluru,35
16,Rohit Sharma,65,-,-,0,0,28 Sep 2017,v Australia Bengaluru,35
17,Hardik Pandya,41,0,32,1,0,28 Sep 2017,v Australia Bengaluru,35
19,Virat Kohli,21,-,-,1,0,28 Sep 2017,v Australia Bengaluru,35
27,Mohammed Shami,6*,0,62,0,0,28 Sep 2017,v Australia Bengaluru,35
1,Pat Cummins,2*,0,29,0,0,1 Oct 2017,v India Nagpur,36
2,Steve Smith,16,-,-,0,0,1 Oct 2017,v India Nagpur,36
9,Travis Head,42,0,38,0,0,1 Oct 2017,v India Nagpur,36
12,Marcus Stoinis,46,0,20,1,0,1 Oct 2017,v India Nagpur,36
13,David Warner,53,-,-,0,0,1 Oct 2017,v India Nagpur,36
14,Adam Zampa,DNB,2,59,0,0,1 Oct 2017,v India Nagpur,36
16,Rohit Sharma,125,-,-,0,0,1 Oct 2017,v Australia Nagpur,36
17,Hardik Pandya,DNB,1,14,0,0,1 Oct 2017,v Australia Nagpur,36
19,Virat Kohli,39,-,-,0,0,1 Oct 2017,v Australia Nagpur,36
24,Jasprit Bumrah,DNB,2,51,1,0,1 Oct 2017,v Australia Nagpur,36
26,Kuldeep Yadav,DNB,0,48,0,0,1 Oct 2017,v Australia Nagpur,36
1,Pat Cummins,12,2,63,0,0,14 Jan 2018,v England Melbourne,37
2,Steve Smith,23,-,-,1,0,14 Jan 2018,v England Melbourne,37
9,Travis Head,5,0,6,0,0,14 Jan 2018,v England Melbourne,37
10,Mitch Marsh,50,0,15,0,0,14 Jan 2018,v England Melbourne,37
12,Marcus Stoinis,60,1,33,1,0,14 Jan 2018,v England Melbourne,37
13,David Warner,2,-,-,0,0,14 Jan 2018,v England Melbourne,37
14,Adam Zampa,DNB,0,72,0,0,14 Jan 2018,v England Melbourne,37
15,Mitchell Starc.,0*,2,71,1,0,14 Jan 2018,v England Melbourne,37
1,Pat Cummins,1*,1,67,0,0,21 Jan 2018,v England Sydney,38
2,Steve Smith,45,-,-,0,0,21 Jan 2018,v England Sydney,38
8,Josh Hazlewood,DNB,2,58,0,0,21 Jan 2018,v England Sydney,38
10,Mitch Marsh,55,1,14,0,0,21 Jan 2018,v England Sydney,38
12,Marcus Stoinis,56,1,43,0,0,21 Jan 2018,v England Sydney,38
13,David Warner,8,-,-,0,0,21 Jan 2018,v England Sydney,38
14,Adam Zampa,DNB,1,55,1,0,21 Jan 2018,v England Sydney,38
15,Mitchell Starc.,DNB,0,63,0,0,21 Jan 2018,v England Sydney,38
1,Pat Cummins,3,4,24,0,0,26 Jan 2018,v England Adelaide,39
2,Steve Smith,4,-,-,1,0,26 Jan 2018,v England Adelaide,39
8,Josh Hazlewood,DNB,3,39,1,0,26 Jan 2018,v England Adelaide,39
9,Travis Head,96,0,9,1,0,26 Jan 2018,v England Adelaide,39
10,Mitch Marsh,32,0,24,1,0,26 Jan 2018,v England Adelaide,39
12,Marcus Stoinis,14,0,24,0,0,26 Jan 2018,v England Adelaide,39
13,David Warner,13,-,-,0,0,26 Jan 2018,v England Adelaide,39
14,Adam Zampa,DNB,0,42,0,0,26 Jan 2018,v England Adelaide,39
1,Pat Cummins,12,0,18,0,0,4 Nov 2018,v South Africa Perth,40
3,Alex Carey,33,-,-,0,0,4 Nov 2018,v South Africa Perth,40
8,Josh Hazlewood,6*,0,41,1,0,4 Nov 2018,v South Africa Perth,40
9,Travis Head,1,-,-,0,0,4 Nov 2018,v South Africa Perth,40
11,Glenn Maxwell,11,-,-,0,0,4 Nov 2018,v South Africa Perth,40
12,Marcus Stoinis,14,3,16,0,0,4 Nov 2018,v South Africa Perth,40
15,Mitchell Starc.,12,0,47,0,0,4 Nov 2018,v South Africa Perth,40
1,Pat Cummins,3,1,27,0,0,9 Nov 2018,v South Africa Adelaide,41
3,Alex Carey,47,-,-,1,0,9 Nov 2018,v South Africa Adelaide,41
8,Josh Hazlewood,10*,2,42,0,0,9 Nov 2018,v South Africa Adelaide,41
9,Travis Head,8,-,-,0,0,9 Nov 2018,v South Africa Adelaide,41
11,Glenn Maxwell,15,0,11,0,0,9 Nov 2018,v South Africa Adelaide,41
12,Marcus Stoinis,2,3,35,0,0,9 Nov 2018,v South Africa Adelaide,41
14,Adam Zampa,22,0,57,1,0,9 Nov 2018,v South Africa Adelaide,41
15,Mitchell Starc.,6,2,51,0,0,9 Nov 2018,v South Africa Adelaide,41
1,Pat Cummins,7*,0,67,0,0,11 Nov 2018,v South Africa Hobart,42
3,Alex Carey,42,-,-,3,0,11 Nov 2018,v South Africa Hobart,42
8,Josh Hazlewood,0*,1,53,0,0,11 Nov 2018,v South Africa Hobart,42
9,Travis Head,6,-,-,0,0,11 Nov 2018,v South Africa Hobart,42
11,Glenn Maxwell,35,0,38,0,0,11 Nov 2018,v South Africa Hobart,42
12,Marcus Stoinis,63,2,70,0,0,11 Nov 2018,v South Africa Hobart,42
14,Adam Zampa,0,0,32,0,0,11 Nov 2018,v South Africa Hobart,42
15,Mitchell Starc.,0,2,57,0,0,11 Nov 2018,v South Africa Hobart,42
1,Pat Cummins,0*,0,46,0,0,2 Mar 2019,v India Hyderabad,43
3,Alex Carey,36*,-,-,1,0,2 Mar 2019,v India Hyderabad,43
11,Glenn Maxwell,40,-,-,1,0,2 Mar 2019,v India Hyderabad,43
12,Marcus Stoinis,37,0,52,0,0,2 Mar 2019,v India Hyderabad,43
14,Adam Zampa,DNB,2,49,0,0,2 Mar 2019,v India Hyderabad,43
16,Rohit Sharma,37,-,-,0,0,2 Mar 2019,v Australia Hyderabad,43
19,Virat Kohli,44,-,-,2,0,2 Mar 2019,v Australia Hyderabad,43
22,Ravindra Jadeja,DNB,0,33,0,0,2 Mar 2019,v Australia Hyderabad,43
24,Jasprit Bumrah,DNB,2,60,0,0,2 Mar 2019,v Australia Hyderabad,43
26,Kuldeep Yadav,DNB,2,46,0,0,2 Mar 2019,v Australia Hyderabad,43
27,Mohammed Shami,DNB,2,44,0,0,2 Mar 2019,v Australia Hyderabad,43
1,Pat Cummins,0,4,29,0,0,5 Mar 2019,v India Nagpur,44
3,Alex Carey,22,-,-,0,0,5 Mar 2019,v India Nagpur,44
11,Glenn Maxwell,4,1,45,0,0,5 Mar 2019,v India Nagpur,44
12,Marcus Stoinis,52,0,12,1,0,5 Mar 2019,v India Nagpur,44
14,Adam Zampa,2,2,62,1,0,5 Mar 2019,v India Nagpur,44
16,Rohit Sharma,0,-,-,0,0,5 Mar 2019,v Australia Nagpur,44
19,Virat Kohli,116,-,-,1,0,5 Mar 2019,v Australia Nagpur,44
22,Ravindra Jadeja,21,1,48,0,0,5 Mar 2019,v Australia Nagpur,44
24,Jasprit Bumrah,0,2,29,0,0,5 Mar 2019,v Australia Nagpur,44
26,Kuldeep Yadav,3,3,54,0,0,5 Mar 2019,v Australia Nagpur,44
27,Mohammed Shami,2*,0,60,0,0,5 Mar 2019,v Australia Nagpur,44
1,Pat Cummins,DNB,3,37,1,0,8 Mar 2019,v India Ranchi,45
3,Alex Carey,21*,-,-,0,0,8 Mar 2019,v India Ranchi,45
11,Glenn Maxwell,47,0,30,2,0,8 Mar 2019,v India Ranchi,45
12,Marcus Stoinis,31*,0,39,0,0,8 Mar 2019,v India Ranchi,45
14,Adam Zampa,DNB,3,70,0,0,8 Mar 2019,v India Ranchi,45
16,Rohit Sharma,14,-,-,0,0,8 Mar 2019,v Australia Ranchi,45
19,Virat Kohli,123,-,-,0,0,8 Mar 2019,v Australia Ranchi,45
22,Ravindra Jadeja,24,0,64,0,0,8 Mar 2019,v Australia Ranchi,45
24,Jasprit Bumrah,0*,0,53,1,0,8 Mar 2019,v Australia Ranchi,45
26,Kuldeep Yadav,10,3,64,0,0,8 Mar 2019,v Australia Ranchi,45
27,Mohammed Shami,8,1,52,0,0,8 Mar 2019,v Australia Ranchi,45
1,Pat Cummins,DNB,5,70,1,0,10 Mar 2019,v India Mohali,46
3,Alex Carey,21,-,-,3,0,10 Mar 2019,v India Mohali,46
11,Glenn Maxwell,23,0,61,1,0,10 Mar 2019,v India Mohali,46
14,Adam Zampa,DNB,1,57,0,0,10 Mar 2019,v India Mohali,46
16,Rohit Sharma,95,-,-,0,0,10 Mar 2019,v Australia Mohali,46
19,Virat Kohli,7,-,-,0,0,10 Mar 2019,v Australia Mohali,46
21,KL Rahul,26,-,-,1,0,10 Mar 2019,v Australia Mohali,46
24,Jasprit Bumrah,6*,3,63,0,0,10 Mar 2019,v Australia Mohali,46
26,Kuldeep Yadav,1*,1,64,1,0,10 Mar 2019,v Australia Mohali,46
1,Pat Cummins,15,2,38,0,0,13 Mar 2019,v India Delhi,47
3,Alex Carey,3,-,-,2,2,13 Mar 2019,v India Delhi,47
11,Glenn Maxwell,1,0,34,1,0,13 Mar 2019,v India Delhi,47
12,Marcus Stoinis,20,2,31,0,0,13 Mar 2019,v India Delhi,47
14,Adam Zampa,DNB,3,46,0,0,13 Mar 2019,v India Delhi,47
16,Rohit Sharma,56,-,-,0,0,13 Mar 2019,v Australia Delhi,47
19,Virat Kohli,20,-,-,2,0,13 Mar 2019,v Australia Delhi,47
22,Ravindra Jadeja,0,2,45,1,0,13 Mar 2019,v Australia Delhi,47
